지점명,일시,평균기온(℃),최고기온(℃),최고기온시각,최저기온(℃),최저기온시각일교차
수원,2019-09-11,24.2,27.4,14:39,21.5,7:10
수원,2019-09-12,20.7,23.4,0:01,17.7,21:07
수원,2019-09-13,22.6,28.7,16:09,17.4,5:49
수원,2019-09-14,22.4,24.1,12:17,20.7,0:01
수원,2019-09-15,23.9,29.4,15:53,19.6,5:58
수원,2019-09-16,24.2,29.4,15:05,19.2,23:33
수원,2019-09-17,22.9,29.4,15:29,16.6,6:38
수원,2019-09-18,20.7,26.1,12:41,14.8,24:00:00
수원,2019-09-19,19.2,25.7,15:28,11.7,6:14
수원,2019-09-20,20.2,23.9,12:50,15.1,1:44
수원,2019-09-21,19.2,21.6,12:38,16.8,22:29
수원,2019-09-22,17.5,19.6,23:57,15.5,6:24
수원,2019-09-23,19.1,24,14:16,14.2,23:53
수원,2019-09-24,18.3,25,13:59,13.1,3:46
수원,2019-09-25,19.6,26,15:04,13.8,0:49
수원,2019-09-26,22.1,26.5,14:44,16.9,3:40
수원,2019-09-27,22.7,27.1,14:21,19,3:46
수원,2019-09-28,22.8,28.2,13:53,18.3,6:49
수원,2019-09-29,21.1,27.9,14:48,15.7,5:50
수원,2019-09-30,21,28.6,15:27,15.1,6:54
수원,2019-10-01,22,27.4,14:37,15.7,5:44
수원,2019-10-02,21.9,23.8,9:18,20.4,22:57
수원,2019-10-03,22.8,27.8,15:43,19.9,6:30
수원,2019-10-04,21.9,26.9,15:19,17.8,5:40
수원,2019-10-05,18.9,22,13:03,15.7,23:54
수원,2019-10-06,18,22,15:28,14,5:57
수원,2019-10-07,14.8,17.9,0:01,13.4,23:53
수원,2019-10-08,15,20.6,12:34,10.7,24:00:00
수원,2019-10-09,12.8,19.6,14:40,6.4,4:02
수원,2019-10-10,14.9,20.2,13:30,9.5,0:02
수원,2019-10-11,18.8,24.8,15:53,12.1,6:56
수원,2019-10-12,18.3,23.3,13:26,14.1,23:44
수원,2019-10-13,16.9,22.9,15:27,12.5,2:36
수원,2019-10-14,14,19.4,14:38,8.5,23:50
수원,2019-10-15,13.3,19.6,13:21,7.3,3:38
수원,2019-10-16,13.9,20,14:51,7.9,4:31
수원,2019-10-17,14.6,20.6,14:47,9.1,7:15
수원,2019-10-18,16.7,21.9,13:38,10,3:18
수원,2019-10-19,16,22.2,13:34,10.4,6:10
수원,2019-10-20,15.1,21.7,15:19,10.8,3:51
수원,2019-10-21,16.1,23.9,14:44,9.5,5:51
수원,2019-10-22,16.6,23,14:27,11.1,5:08
수원,2019-10-23,17,20,14:27,12.4,1:01
수원,2019-10-24,18.6,23.3,15:06,14.1,4:08
수원,2019-10-25,16.6,21.7,13:11,10.7,4:37
수원,2019-10-26,9.8,13.9,13:25,6.4,23:54
수원,2019-10-27,10.2,16.8,14:51,3,5:36
수원,2019-10-28,12.4,17.4,14:16,6.3,6:03
수원,2019-10-29,12.6,18.1,13:40,8.2,23:58
수원,2019-10-30,10.3,17.1,14:37,3.3,5:51
수원,2019-10-31,14.1,20.4,14:42,7.3,5:46
수원,2019-11-01,14.3,20,15:26,8.3,23:48
수원,2019-11-02,12.9,18.8,13:24,6.1,4:29
수원,2019-11-03,14,20.7,15:21,7.8,6:00
수원,2019-11-04,13,19.2,14:54,8.3,23:51
수원,2019-11-05,10.8,16.9,12:56,6,6:09
수원,2019-11-06,10.2,16.5,14:01,3.8,7:17
수원,2019-11-07,8.8,14.1,12:53,3.9,23:58
수원,2019-11-08,5.9,13.1,14:12,-0.7,4:59
수원,2019-11-09,7.9,16.9,13:56,0.3,6:49
수원,2019-11-10,9.8,15.4,14:28,3.5,5:06
수원,2019-11-11,11.2,15.9,13:32,7.7,23:28
수원,2019-11-12,8.6,15,13:39,3,6:04
수원,2019-11-13,7.3,12.2,16:03,4.1,24:00:00
수원,2019-11-14,1.9,4.9,14:34,-1.1,6:32
수원,2019-11-15,7,10.9,15:53,0.5,0:58
수원,2019-11-16,7.8,14.7,15:19,3.7,23:46
수원,2019-11-17,9.2,12.4,24:00:00,4,0:58
수원,2019-11-18,5.4,13.9,0:29,1.1,23:57
수원,2019-11-19,1.5,5.4,14:30,-2,7:26
수원,2019-11-20,0.6,6.5,15:26,-3.9,6:47
수원,2019-11-21,4.8,9.9,14:40,-3.2,5:42
수원,2019-11-22,9.8,16.7,15:11,2.4,6:50
수원,2019-11-23,11.8,17.9,16:00,7,2:51
수원,2019-11-24,10.1,17.9,12:41,5.6,23:59
수원,2019-11-25,1.8,5.6,0:01,-1.1,7:04
수원,2019-11-26,6.4,13.2,13:52,-0.9,1:56
수원,2019-11-27,3.6,7,12:47,0.2,23:33
수원,2019-11-28,3.8,10.6,13:43,-1.8,3:32
수원,2019-11-29,1.9,8,15:27,-3.5,6:23
수원,2019-11-30,4,10.4,14:25,-3.2,6:56
수원,2019-12-01,5.3,6.8,13:43,3.3,23:57
수원,2019-12-02,0.9,4.4,12:48,-1.8,23:49
수원,2019-12-03,-0.1,2.7,18:34,-4.5,3:22
