지점명,일시,강수량(mm),1시간최다강수량(mm),1시간최다강수량시각
수원,2020-08-02,86.7,19,2:06
수원,2020-08-03,96.9,40.7,4:07
수원,2020-08-04,0.2,0.2,
수원,2020-08-05,20.5,16.7,13:31
수원,2020-08-06,131.5,48,5:14
수원,2020-08-07,0.2,0.2,
수원,2020-08-08,12.3,4.5,19:00
수원,2020-08-09,134.2,39.2,6:54
수원,2020-08-10,22.3,12.1,15:27
수원,2020-08-11,16.2,6.4,7:13
수원,2020-08-12,0,0,
수원,2020-08-13,0,0,
수원,2020-08-14,0,0,
수원,2020-08-15,46.6,18.8,6:40
수원,2020-08-16,,,
수원,2020-08-17,,,
수원,2020-08-18,,,
수원,2020-08-19,,,
수원,2020-08-20,,,
수원,2020-08-21,0,0,
수원,2020-08-22,30.2,11.6,17:42
수원,2020-08-23,,,
수원,2020-08-24,,,
수원,2020-08-25,0,0,
수원,2020-08-26,1,1,22:01
수원,2020-08-27,10.9,8.3,20:29
수원,2020-08-28,2.3,0.9,12:06
수원,2020-08-29,18.3,5.7,16:41
수원,2020-08-30,0.1,0.1,
수원,2020-08-31,0.2,0.2,
수원,2020-09-01,0.4,0.4,21:06
수원,2020-09-02,17.9,5.2,23:31
수원,2020-09-03,31.5,7,0:01
수원,2020-09-04,,,
수원,2020-09-05,0,0,
수원,2020-09-06,9.4,4.3,21:37
수원,2020-09-07,59.9,10.1,6:31
수원,2020-09-08,,,
수원,2020-09-09,10.8,5.1,17:10
수원,2020-09-10,0,0,
수원,2020-09-11,6.3,3.6,22:29
수원,2020-09-12,8.3,2.4,1:16
수원,2020-09-13,,,
수원,2020-09-14,,,
수원,2020-09-15,,,
수원,2020-09-16,0,0,
수원,2020-09-17,,,
수원,2020-09-18,,,
수원,2020-09-19,10.2,7.3,6:13
수원,2020-09-20,,,
수원,2020-09-21,,,
수원,2020-09-22,,,
수원,2020-09-23,,,
수원,2020-09-24,,,
수원,2020-09-25,,,
수원,2020-09-26,,,
수원,2020-09-27,,,
수원,2020-09-28,,,
수원,2020-09-29,,,
수원,2020-09-30,8.7,8.7,15:19
수원,2020-10-01,,,
수원,2020-10-02,0,0,
수원,2020-10-03,21.9,20.8,2:25
수원,2020-10-04,0,0,
수원,2020-10-05,,,
수원,2020-10-06,,,
수원,2020-10-07,,,
수원,2020-10-08,,,
수원,2020-10-09,,,
수원,2020-10-10,,,
수원,2020-10-11,,,
수원,2020-10-12,,,
수원,2020-10-13,,,
수원,2020-10-14,,,
수원,2020-10-15,,,
수원,2020-10-16,,,
수원,2020-10-17,0.3,0.3,3:05
수원,2020-10-18,,,
수원,2020-10-19,,,
수원,2020-10-20,,,
수원,2020-10-21,,,
수원,2020-10-22,,,
수원,2020-10-23,,,
수원,2020-10-24,,,
수원,2020-10-25,,,
수원,2020-10-26,,,
수원,2020-10-27,,,
수원,2020-10-28,,,
수원,2020-10-29,,,
수원,2020-10-30,,,
수원,2020-10-31,,,
수원,2020-11-01,3.4,,
수원,2020-11-02,0.3,,
수원,2020-11-03,1.4,,
수원,2020-11-04,,,
수원,2020-11-05,,,
수원,2020-11-06,,,
수원,2020-11-07,,,
수원,2020-11-08,,,
수원,2020-11-09,0,0,
수원,2020-11-10,,,
수원,2020-11-11,,,
수원,2020-11-12,,,
수원,2020-11-13,,,
수원,2020-11-14,,,
수원,2020-11-15,,,
수원,2020-11-16,,,
수원,2020-11-17,0.4,,
수원,2020-11-18,5.1,,
수원,2020-11-19,43.3,,
수원,2020-11-20,0,,
수원,2020-11-21,0,,
수원,2020-11-22,2.9,,
수원,2020-11-23,,,
수원,2020-11-24,,,
수원,2020-11-25,,,
수원,2020-11-26,,,
수원,2020-11-27,,,
수원,2020-11-28,,,
수원,2020-11-29,0,,
수원,2020-11-30,,,
수원,2020-12-01,,,
수원,2020-12-02,,,
수원,2020-12-03,,,
수원,2020-12-04,,,
수원,2020-12-05,,,
수원,2020-12-06,,,
수원,2020-12-07,,,
수원,2020-12-08,,,
수원,2020-12-09,,,
수원,2020-12-10,0,,
수원,2020-12-11,,,
수원,2020-12-12,,,
수원,2020-12-13,2.4,,
수원,2020-12-14,,,
수원,2020-12-15,,,
수원,2020-12-16,,,
수원,2020-12-17,0,,
수원,2020-12-18,1.1,,
수원,2020-12-19,,,
수원,2020-12-20,,,
수원,2020-12-21,,,
수원,2020-12-22,0.7,,
수원,2020-12-23,,,
수원,2020-12-24,0.2,,
수원,2020-12-25,,,
수원,2020-12-26,0,,
수원,2020-12-27,0,,
수원,2020-12-28,0,,
수원,2020-12-29,0.2,,
수원,2020-12-30,,,
수원,2020-12-31,0,,
수원,2021-01-01,0,,
수원,2021-01-02,,,
수원,2021-01-03,,,
수원,2021-01-04,0,,
수원,2021-01-05,0,,
수원,2021-01-06,5.7,,
수원,2021-01-07,,,
수원,2021-01-08,,,
수원,2021-01-09,,,
수원,2021-01-10,0,,
수원,2021-01-11,,,
수원,2021-01-12,1.5,,
수원,2021-01-13,,,
수원,2021-01-14,,,
수원,2021-01-15,0,,
수원,2021-01-16,,,
수원,2021-01-17,1.1,,
수원,2021-01-18,0.3,,
수원,2021-01-19,,,
수원,2021-01-20,,,
수원,2021-01-21,9.1,,
수원,2021-01-22,0,,
수원,2021-01-23,,,
수원,2021-01-24,,,
수원,2021-01-25,,,
수원,2021-01-26,4.1,,
수원,2021-01-27,,,
수원,2021-01-28,2.3,,
수원,2021-01-29,,,
수원,2021-01-30,0,,
수원,2021-01-31,,,
수원,2021-02-01,1.7,,
수원,2021-02-02,0.1,,
수원,2021-02-03,3.8,,
수원,2021-02-04,1.6,,
수원,2021-02-05,,,
수원,2021-02-06,,,
수원,2021-02-07,,,
수원,2021-02-08,,,
수원,2021-02-09,,,
수원,2021-02-10,,,
수원,2021-02-11,,,
수원,2021-02-12,,,
수원,2021-02-13,,,
수원,2021-02-14,0,,
수원,2021-02-15,0.6,,
수원,2021-02-16,1.9,,
수원,2021-02-17,,,
수원,2021-02-18,,,
수원,2021-02-19,,,
수원,2021-02-20,,,
수원,2021-02-21,,,
수원,2021-02-22,,,
수원,2021-02-23,,,
수원,2021-02-24,,,
수원,2021-02-25,,,
수원,2021-02-26,,,
수원,2021-02-27,,,
수원,2021-02-28,,,
수원,2021-03-01,70.7,,
수원,2021-03-02,0.2,,
수원,2021-03-03,,,
수원,2021-03-04,,,
수원,2021-03-05,,,
수원,2021-03-06,,,
수원,2021-03-07,,,
수원,2021-03-08,,,
수원,2021-03-09,,,
수원,2021-03-10,,,
수원,2021-03-11,,,
수원,2021-03-12,0.2,,
수원,2021-03-13,,,
수원,2021-03-14,,,
수원,2021-03-15,0.2,,
수원,2021-03-16,2.4,,
수원,2021-03-17,,,
수원,2021-03-18,,,
수원,2021-03-19,,,
수원,2021-03-20,3.7,,
수원,2021-03-21,,,
수원,2021-03-22,,,
수원,2021-03-23,,,
수원,2021-03-24,,,
수원,2021-03-25,,,
수원,2021-03-26,,,
수원,2021-03-27,20.1,,
수원,2021-03-28,5.2,,
수원,2021-03-29,0.1,,
수원,2021-03-30,,,
수원,2021-03-31,,,
수원,2021-04-01,,,
수원,2021-04-02,,,
수원,2021-04-03,46.7,10.1,13:11
수원,2021-04-04,0.5,0.3,3:45
수원,2021-04-05,,,
수원,2021-04-06,,,
수원,2021-04-07,,,
수원,2021-04-08,,,
수원,2021-04-09,,,
수원,2021-04-10,,,
수원,2021-04-11,,,
수원,2021-04-12,20.1,3.2,23:22
수원,2021-04-13,7.8,3,1:46
수원,2021-04-14,,,
수원,2021-04-15,,,
수원,2021-04-16,0.4,0.3,11:22
수원,2021-04-17,,,
수원,2021-04-18,,,
수원,2021-04-19,,,
수원,2021-04-20,,,
수원,2021-04-21,,,
수원,2021-04-22,0,0,
수원,2021-04-23,0,0,
수원,2021-04-24,,,
수원,2021-04-25,,,
수원,2021-04-26,,,
수원,2021-04-27,0,0.1,
수원,2021-04-28,1.8,1.8,0:09
수원,2021-04-29,6.3,4.5,21:50
수원,2021-04-30,22.8,9.2,2:34
수원,2021-05-01,9.1,6.8,4:34
수원,2021-05-02,2.2,1.4,0:54
수원,2021-05-03,,,
수원,2021-05-04,18.8,4.1,14:27
수원,2021-05-05,0.1,0.4,#VALUE!
수원,2021-05-06,,,
수원,2021-05-07,8.9,8.9,9:35
수원,2021-05-08,,,
수원,2021-05-09,,,
수원,2021-05-10,18.5,6.1,7:50
수원,2021-05-11,,,
수원,2021-05-12,,,
수원,2021-05-13,,,
수원,2021-05-14,,,
수원,2021-05-15,5.2,2.1,21:00
수원,2021-05-16,32.6,4.5,11:02
수원,2021-05-17,3.8,1.5,12:48
수원,2021-05-18,,,
수원,2021-05-19,,,
수원,2021-05-20,11.6,5.9,21:42
수원,2021-05-21,11.6,2.2,6:26
수원,2021-05-22,,,
수원,2021-05-23,,,
수원,2021-05-24,,,
수원,2021-05-25,5.4,4.4,5:19
수원,2021-05-26,0,0,
수원,2021-05-27,6.5,4.8,6:49
수원,2021-05-28,21.7,15.5,8:09
수원,2021-05-29,0,0,
수원,2021-05-30,18.7,12.1,22:49
수원,2021-05-31,4.5,8.8,#VALUE!
수원,2021-06-01,0.6,0.6,5:34
수원,2021-06-02,,,
수원,2021-06-03,17.2,5.3,15:24
수원,2021-06-04,0,0,
수원,2021-06-05,,,
수원,2021-06-06,,,
수원,2021-06-07,0,0,
수원,2021-06-08,0.1,0.1,
수원,2021-06-09,,,
수원,2021-06-10,8.3,7.3,22:51
수원,2021-06-11,7.3,4.5,2:44
수원,2021-06-12,,,
수원,2021-06-13,,,
수원,2021-06-14,,,
수원,2021-06-15,0.7,0.3,7:40
수원,2021-06-16,,,
수원,2021-06-17,0.1,0.1,
수원,2021-06-18,6.2,1.4,4:20
수원,2021-06-19,,,
수원,2021-06-20,,,
수원,2021-06-21,,,
수원,2021-06-22,0,0,
수원,2021-06-23,0.2,0.2,
수원,2021-06-24,,,
수원,2021-06-25,,,
수원,2021-06-26,7.4,3.9,2:31
수원,2021-06-27,0.2,0.2,
수원,2021-06-28,0.9,0.9,6:38
수원,2021-06-29,0.9,0.9,13:56
수원,2021-06-30,0,0,
수원,2021-07-01,,,
수원,2021-07-02,,,
수원,2021-07-03,33.3,9.8,16:10
수원,2021-07-04,12.6,6.6,#VALUE!
